filename	video_id	emotion	emotion_id	intensity_level	mode
A101_bor_p_1	A101	boredom	26	1	p
A101_bor_p_2	A101	boredom	26	2	p
A101_bor_p_3	A101	boredom	26	3	p
A101_bor_p_4	A101	boredom	26	4	p
A101_bor_v_1	A101	boredom	26	1	v
A101_bor_v_2	A101	boredom	26	2	v
A101_bor_v_3	A101	boredom	26	3	v
A101_bor_v_4	A101	boredom	26	4	v
A101_conc_p_1	A101	concentration	27	1	p
A101_conc_p_2	A101	concentration	27	2	p
A101_conc_p_3	A101	concentration	27	3	p
A101_conc_p_4	A101	concentration	27	4	p
A101_conc_v_1	A101	concentration	27	1	v
A101_conc_v_2	A101	concentration	27	2	v
A101_conc_v_3	A101	concentration	27	3	v
A101_conc_v_4	A101	concentration	27	4	v
A101_conf_p_1	A101	confusion	1	1	p
A101_conf_p_2	A101	confusion	1	2	p
A101_conf_p_3	A101	confusion	1	3	p
A101_conf_p_4	A101	confusion	1	4	p
A101_conf_v_1	A101	confusion	1	1	v
A101_conf_v_2	A101	confusion	1	2	v
A101_conf_v_3	A101	confusion	1	3	v
A101_conf_v_4	A101	confusion	1	4	v
A101_det_p_1	A101	determination	2	1	p
A101_det_p_2	A101	determination	2	2	p
A101_det_p_3	A101	determination	2	3	p
A101_det_p_4	A101	determination	2	4	p
A101_det_v_1	A101	determination	2	1	v
A101_det_v_2	A101	determination	2	2	v
A101_det_v_3	A101	determination	2	3	v
A101_det_v_4	A101	determination	2	4	v
A101_disa_p_1	A101	disappointment	37	1	p
A101_disa_p_2	A101	disappointment	37	2	p
A101_disa_p_3	A101	disappointment	37	3	p
A101_disa_p_4	A101	disappointment	37	4	p
A101_disa_v_1	A101	disappointment	37	1	v
A101_disa_v_2	A101	disappointment	37	2	v
A101_disa_v_3	A101	disappointment	37	3	v
A101_disa_v_4	A101	disappointment	37	4	v
A101_dou_p_1	A101	doubt	3	1	p
A101_dou_p_2	A101	doubt	3	2	p
A101_dou_p_3	A101	doubt	3	3	p
A101_dou_p_4	A101	doubt	3	4	p
A101_dou_v_1	A101	doubt	3	1	v
A101_dou_v_2	A101	doubt	3	2	v
A101_dou_v_3	A101	doubt	3	3	v
A101_dou_v_4	A101	doubt	3	4	v
A101_gra_p_1	A101	gratitude	7	1	p
A101_gra_p_2	A101	gratitude	7	2	p
A101_gra_p_3	A101	gratitude	7	3	p
