condition	filename	video_id	emotion	intensity_level	mode
metahuman	A205_int_p_3	A205	interest_curiosity	3	p
metahuman	A323_dou_v_3	A323	doubt	3	v
metahuman	A207_disa_v_2	A207	disappointment	2	v
metahuman	A67_bor_v_2	A67	boredom	2	v
metahuman	A426_conf_v_3	A426	confusion	3	v
metahuman	A407_bor_p_2	A407	boredom	2	p
metahuman	A303_conf_p_3	A303	confusion	3	p
metahuman	A227_conf_v_2	A227	confusion	2	v
metahuman	A200_int_v_2	A200	interest_curiosity	2	v
metahuman	A417_det_p_3	A417	determination	3	p
metahuman	A207_dou_v_2	A207	doubt	2	v
metahuman	A207_conc_v_3	A207	concentration	3	v
metahuman	A424_det_v_3	A424	determination	3	v
metahuman	A417_dou_v_3	A417	doubt	3	v
metahuman	A437_conc_v_2	A437	concentration	2	v
metahuman	A205_conf_p_2	A205	confusion	2	p
metahuman	A334_bor_p_2	A334	boredom	2	p
metahuman	A426_conc_p_2	A426	concentration	2	p
metahuman	A424_det_v_2	A424	determination	2	v
metahuman	A102_gra_v_3	A102	gratitude	3	v
metahuman	A332_bor_v_2	A332	boredom	2	v
metahuman	A323_disa_v_3	A323	disappointment	3	v
metahuman	A102_gra_p_3	A102	gratitude	3	p
metahuman	A334_det_p_3	A334	determination	3	p
metahuman	A425_dou_v_2	A425	doubt	2	v
metahuman	A435_conf_v_3	A435	confusion	3	v
metahuman	A424_gra_p_2	A424	gratitude	2	p
metahuman	A337_int_p_2	A337	interest_curiosity	2	p
metahuman	A72_disa_p_3	A72	disappointment	3	p
metahuman	A426_conc_v_3	A426	concentration	3	v
metahuman	A417_gra_p_2	A417	gratitude	2	p
metahuman	A417_det_p_2	A417	determination	2	p
metahuman	A332_disa_v_2	A332	disappointment	2	v
metahuman	A426_det_p_2	A426	determination	2	p
metahuman	A200_int_v_3	A200	interest_curiosity	3	v
metahuman	A207_bor_v_3	A207	boredom	3	v
metahuman	A67_conf_p_3	A67	confusion	3	p
metahuman	A426_gra_v_3	A426	gratitude	3	v
metahuman	A67_bor_v_3	A67	boredom	3	v
metahuman	A220_conf_v_2	A220	confusion	2	v
metahuman	A438_dou_p_3	A438	doubt	3	p
metahuman	A227_dou_p_3	A227	doubt	3	p
metahuman	A221_gra_v_2	A221	gratitude	2	v
metahuman	A220_det_v_3	A220	determination	3	v
metahuman	A67_conc_p_2	A67	concentration	2	p
metahuman	A91_gra_v_2	A91	gratitude	2	v
metahuman	A405_disa_p_3	A405	disappointment	3	p
metahuman	A303_int_v_3	A303	interest_curiosity	3	v
metahuman	A417_int_p_3	A417	interest_curiosity	3	p
metahuman	A72_disa_p_2	A72	disappointment	2	p
metahuman	A220_disa_p_2	A220	disappointment	2	p
metahuman	A426_dou_p_2	A426	doubt	2	p
metahuman	A417_gra_p_3	A417	gratitude	3	p
metahuman	A435_conc_p_3	A435	concentration	3	p
metahuman	A67_disa_v_3	A67	disappointment	3	v
metahuman	A424_int_v_2	A424	interest_curiosity	2	v
metahuman	A205_conc_v_2	A205	concentration	2	v
metahuman	A327_dou_p_2	A327	doubt	2	p
metahuman	A438_conf_p_2	A438	confusion	2	p
metahuman	A426_bor_p_3	A426	boredom	3	p
metahuman	A417_bor_p_3	A417	boredom	3	p
metahuman	A102_conc_p_3	A102	concentration	3	p
metahuman	A435_det_v_2	A435	determination	2	v
metahuman	A67_int_p_2	A67	interest_curiosity	2	p
